PLAYER,POS,REAL POS,TEAM,OPP,START,SAL,FPTS,VAL,FPTS L5,VAL L5,FPTS AVG,VAL AVG,WEATHER
Donovan Walton,SS,SS,SEA,TEX,,2100,0.0,0.0,2.0,1.0,2.0,1.0,In Dome
Austin Nola,1B,1B/C,SD,@OAK,,4700,0.0,0.0,7.0,1.5,7.7,1.7,W 6 L-R
Chris Shaw,1B,1B/OF,SF,ARI,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 6 Out
Skye Bolt,OF,OF,OAK,SD,,2800,0.0,0.0,0.0,0.0,0.0,0.0,W 6 L-R
Patrick Wisdom,1B,1B/3B,CHC,STL,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 18 Out
Abiatal Avelino,SS,SS,SF,ARI,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 6 Out
Jorge Mateo,OF,OF,SD,@OAK,,2300,0.0,0.0,2.0,0.9,1.5,0.6,W 6 L-R
Rob Refsnyder,1B,1B/OF,TEX,@SEA,,2300,0.0,0.0,2.2,1.0,2.4,1.0,In Dome
Chad Pinder,2B,2B,OAK,SD,,2400,0.0,0.0,5.2,2.2,4.2,1.8,W 6 L-R
Jake Fraley,OF,OF,SEA,TEX,,2200,0.0,0.0,6.4,2.9,6.8,3.1,In Dome
Marco Luciano,SS,SS,SF,ARI,,2100,0.0,0.0,0.0,0.0,0.0,0.0,W 6 Out
Noelvi Marte,SS,SS,SEA,TEX,,2100,0.0,0.0,0.0,0.0,0.0,0.0,In Dome
Joe McCarthy,OF,OF,SF,ARI,,2100,0.0,0.0,0.0,0.0,0.0,0.0,W 6 Out
Sam Haggerty,OF,OF,SEA,TEX,,4100,0.0,0.0,4.2,1.0,8.3,2.0,In Dome
Taylor Jones,1B,1B,HOU,@LAA,,2000,0.0,0.0,5.0,2.5,5.0,2.5,W 7 Out
Elliot Soto,3B,3B/SS,LAA,HOU,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 7 Out
Jaylin Davis,OF,OF,SF,ARI,,2100,0.0,0.0,4.8,2.3,4.8,2.3,W 6 Out
Eli White,OF,OF,TEX,@SEA,,2200,0.0,0.0,0.8,0.4,0.8,0.4,In Dome
Matt Thaiss,1B,1B/3B,LAA,HOU,,2300,0.0,0.0,2.4,1.0,2.4,1.0,W 7 Out
Francisco Mejia,C,C,SD,@OAK,,2800,0.0,0.0,3.2,1.1,2.4,0.9,W 6 L-R
Luis Torrens,C,C,SEA,TEX,,3300,0.0,0.0,2.2,0.7,2.0,0.6,In Dome
