"Name","Team","PA","Pitches","HR","AVG","OBP","SLG","OPS","SB","wOBA","wRC+","ISO","K%","GB%","LD%","FB%","HR/FB","Barrel%","EV","FA% (pfx)","wFA/C (pfx)","FT% (pfx)","wFT/C (pfx)","FC% (pfx)","wFC/C (pfx)","FS% (pfx)","wFS/C (pfx)","FO% (pfx)","wFO/C (pfx)","SI% (pfx)","wSI/C (pfx)","SL% (pfx)","wSL/C (pfx)","CU% (pfx)","wCU/C (pfx)","KC% (pfx)","wKC/C (pfx)","EP% (pfx)","wEP/C (pfx)","CH% (pfx)","wCH/C (pfx)","SC% (pfx)","wSC/C (pfx)","KN% (pfx)","wKN/C (pfx)","playerid"
"Nick Burdi","Pirates","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16074"
"Cy Sneed","Astros","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16106"
"Daniel Ponce de Leon","Cardinals","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16110"
"Jordan Romano","Blue Jays","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16122"
"John Curtiss","Rays","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16128"
"David Hess","Orioles","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16130"
"Justin Shafer","Marlins","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16132"
"Brandon Leibrandt","Marlins","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16135"
"Carlos Rodon","White Sox","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16137"
"Aaron Nola","Phillies","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16149"
"Jace Fry","White Sox","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16159"
"Brandon Woodruff","Brewers","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16162"
"Spencer Turnbull","Tigers","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16207"
"Tejay Antone","Reds","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16233"
"Kyle Freeland","Rockies","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16256"
"Aaron Bummer","White Sox","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16258"
"Sam Howard","Pirates","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16265"
"John Means","Orioles","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16269"
"Jesus Tinoco","Marlins","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16300"
"Ryan Borucki","Blue Jays","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16350"
"Tyler Mahle","Reds","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16358"
"Ryan Castellani","Rockies","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16377"
"Brad Wieck","Cubs","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16390"
"Reynaldo Lopez","White Sox","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16400"
"Yonny Chirinos","Rays","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16401"
"Victor Gonzalez","Dodgers","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16408"
"Blake Taylor","Astros","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16418"
"Foster Griffin","Royals","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16432"
"Christian Arroyo","Indians","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16434"
"James Norwood","Cubs","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16440"
"Joe Harvey","Rockies","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16459"
"Roel Ramirez","Cardinals","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16470"
"Ryan Yarbrough","Rays","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16502"
"Dan Altavilla","Mariners","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16507"
"Jordan Montgomery","Yankees","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16511"
"Austin Gomber","Cardinals","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16561"
"Erik Swanson","Mariners","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16587"
"Jonathan Holder","Yankees","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16588"
"Bryan Abreu","Astros","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16609"
"J.P. Feyereisen","Brewers","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16610"
"Jeff Brigham","Marlins","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16631"
"Carlos Sanabria","Astros","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16634"
"Ryan Thompson","Rays","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16647"
"James Bourque","Nationals","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16668"
"Julian Merryweather","Blue Jays","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16703"
"Josh James","Astros","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16794"
"Tim Hill","Padres","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16814"
"Cameron Hill","Indians","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16840"
"Luke Weaver","Diamondbacks","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16918"
"Touki Toussaint","Braves","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16929"
"Elieser Hernandez","Marlins","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16933"
"Sean Newcomb","Braves","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16943"
"Trevor Williams","Pirates","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16977"
"Daniel Mengden","Athletics","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16980"
"Sean Reid-Foley","Blue Jays","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17034"
"Joseph Palumbo","Rangers","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17035"
"Pablo Lopez","Marlins","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17085"
"Austin Davis","Phillies","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17117"
"Raisel Iglesias","Reds","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17130"
"Chad Wallach","Marlins","3","8","0",".000",".000",".000",".000","0",".000","-100",".000","33.3%","50.0%","50.0%","0.0%","0.0%","0.0%","64.9","","","","","","","","","","","62.5%","-23.06","12.5%","-4.12","25.0%","-12.24","","","","","","","","","","","17161"
"Gabe Speier","Royals","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17170"
"Yoan Lopez","Diamondbacks","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17181"
"Dinelson Lamet","Padres","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17186"
"Jalen Beeks","Rays","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17192"
"Austin Brice","Red Sox","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17237"
"Sam Coonrod","Giants","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17264"
"Justus Sheffield","Mariners","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17285"
"Javier Guerra","Padres","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17292"
"Framber Valdez","Astros","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17295"
"Josh Taylor","Red Sox","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17359"
"Brett Martin","Rangers","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17369"
"Yermin Mercedes","White Sox","1","6","0",".000",".000",".000",".000","0",".000","-100",".000","0.0%","100.0%","0.0%","0.0%","0.0%","0.0%","90.9","66.7%","-1.03","","","","","","","","","","","33.3%","-2.81","","","","","","","","","","","","","17423"
"Erick Fedde","Nationals","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17425"
"Jeff Hoffman","Rockies","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17432"
"Jonathan Hernandez","Rangers","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17464"
"Chad Sobotka","Braves","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17470"
"Jack Flaherty","Cardinals","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17479"
"Albert Abreu","Yankees","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17485"
"Genesis Cabrera","Cardinals","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17490"
"Diego Castillo","Rays","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17496"
"Jorge Guzman","Marlins","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17505"
"Jimmy Herget","Rangers","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17556"
"Jonathan Brubaker","Pirates","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17578"
"Ricardo Sanchez","Cardinals","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17581"
"Jordan Yamamoto","Marlins","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17585"
"Tanner Scott","Orioles","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17586"
"Mitch Keller","Pirates","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17594"
"Cristian Javier","Astros","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17606"
"Tanner Rainey","Nationals","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17610"
"Taylor Clarke","Diamondbacks","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17611"
"Cody Carroll","Orioles","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17664"
"Jeffrey Springs","Red Sox","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17677"
"Nabil Crismatt","Cardinals","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17732"
"Evan Phillips","Orioles","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17734"
"Tyler Alexander","Tigers","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17735"
"Drew Smith","Mets","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17755"
"Angel Perdomo","Brewers","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17759"
"Jose Alvarado","Rays","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17780"
"Dillon Tate","Orioles","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17796"
"Luis Alexander Basabe","Giants","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17839"
"Adbert Alzolay","Cubs","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17859"
"Jose Rodriguez","Angels","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17860"
"Franklyn Kilome","Mets","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17861"
"Ian Gibaut","Rangers","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17871"
"Nestor Cortes","Mariners","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17874"
"Dennis Santana","Dodgers","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17878"
"Cody Ponce","Pirates","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17920"
"Trent Thornton","Blue Jays","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17948"
"Logan Webb","Giants","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17995"
"Peter Fairbanks","Rays","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17998"
"Triston McKenzie","Indians","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18000"
"Kyle Garlick","Phillies","5","18","0",".000",".000",".000",".000","0",".000","-100",".000","40.0%","66.7%","33.3%","0.0%","0.0%","0.0%","85.7","27.8%","-7.68","","","","","","","","","","","33.3%","4.36","11.1%","-0.35","","","","","27.8%","-6.37","","","","","18063"
"Phil Maton","Indians","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18064"
"Matt Hall","Red Sox","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18076"
"Cody Stashak","Twins","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18088"
"Ryan Meisinger","Cardinals","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18105"
"Chance Adams","Royals","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18135"
"Ryan Helsley","Cardinals","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18138"
"Anthony Misiewicz","Mariners","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18152"
"Seth Brown","Athletics","3","14","0",".000",".000",".000",".000","0",".000","-100",".000","0.0%","33.3%","0.0%","66.7%","0.0%","33.3%","89.0","14.3%","-1.28","","","14.3%","-7.54","","","","","35.7%","-2.01","7.1%","-19.57","","","","","","","28.6%","-2.92","","","","","18171"
"Zac Grotz","Mariners","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18256"
"Jarlin Garcia","Giants","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18282"
"Tyler Kinley","Rockies","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18297"
"Andrew Suarez","Giants","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18300"
"Taylor Guilbeau","Mariners","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18306"
"Carson Fulmer","Tigers","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18311"
"Jacob Waguespack","Blue Jays","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18318"
"Josh Sborz","Dodgers","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18323"
"Taylor Hearn","Rangers","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18325"
"James Kaprielian","Athletics","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18331"
"Alex Young","Diamondbacks","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18333"
"Josh Staumont","Royals","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18335"
"Nick Anderson","Rays","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18337"
"Brandon Waddell","Pirates","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18347"
"Jaime Barria","Angels","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18356"
"Tom Eshelman","Orioles","0","0","0",".000",".000",".000",".000","0",".000","",".000","0.0%","0.0%","0.0%","0.0%","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18361"
