Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Shelby Miller (15454716),Shelby Miller,15454716,P,5000,MIL@CIN 09/21/2020 06:40PM ET,MIL,0
SS,Javier Baez (15454037),Javier Baez,15454037,SS,5000,CHC@PIT 09/21/2020 07:05PM ET,CHC,6.04
OF,Marcell Ozuna (15454038),Marcell Ozuna,15454038,OF,5000,MIA@ATL 09/21/2020 07:10PM ET,ATL,10.21
RP,Dan Castano (15454713),Dan Castano,15454713,P,5000,MIA@ATL 09/21/2020 07:10PM ET,MIA,5.25
2B/3B,Mike Brosseau (15454042),Mike Brosseau,15454042,2B/3B,5000,TB@NYM 09/21/2020 07:10PM ET,TB,5.62
1B/2B,Mike Moustakas (15454048),Mike Moustakas,15454048,1B/2B,4900,MIL@CIN 09/21/2020 06:40PM ET,CIN,5.90
SP,Jake Woodford (15454717),Jake Woodford,15454717,P,4900,STL@KC 09/21/2020 08:05PM ET,STL,2.90
SS,Dansby Swanson (15454041),Dansby Swanson,15454041,SS,4900,MIA@ATL 09/21/2020 07:10PM ET,ATL,8.60
3B,Alex Bregman (15454040),Alex Bregman,15454040,3B,4900,HOU@SEA 09/21/2020 09:10PM ET,HOU,7.23
OF,Yordan Alvarez (15454258),Yordan Alvarez,15454258,OF,4900,HOU@SEA 09/21/2020 09:10PM ET,HOU,13.5
SP,Shaun Anderson (15454718),Shaun Anderson,15454718,P,4800,COL@SF 09/21/2020 09:45PM ET,SF,2.07
OF,Adam Duvall (15454045),Adam Duvall,15454045,OF,4800,MIA@ATL 09/21/2020 07:10PM ET,ATL,8.06
SS,Gleyber Torres (15454044),Gleyber Torres,15454044,SS,4800,NYY@TOR 09/21/2020 06:37PM ET,NYY,6.06
1B,Dominic Smith (15454046),Dominic Smith,15454046,1B,4800,TB@NYM 09/21/2020 07:10PM ET,NYM,9.4
3B,J.D. Davis (15454047),J.D. Davis,15454047,3B,4800,TB@NYM 09/21/2020 07:10PM ET,NYM,7.02
3B/OF,Tommy Edman (15454054),Tommy Edman,15454054,3B/OF,4700,STL@KC 09/21/2020 08:05PM ET,STL,7.08
2B/SS,Brad Miller (15454056),Brad Miller,15454056,2B/SS,4700,STL@KC 09/21/2020 08:05PM ET,STL,7.34
C,Travis d'Arnaud (15454050),Travis d'Arnaud,15454050,C,4700,MIA@ATL 09/21/2020 07:10PM ET,ATL,9.38
OF,Clint Frazier (15454052),Clint Frazier,15454052,OF,4700,NYY@TOR 09/21/2020 06:37PM ET,NYY,9.62
1B,Vladimir Guerrero Jr. (15454053),Vladimir Guerrero Jr.,15454053,1B,4700,NYY@TOR 09/21/2020 06:37PM ET,TOR,6.85
