Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
2020,"Joe Panik","TOR",11,28,25,5,4,1,0,0,3,0,3,0,5,0,0,0,1,0,0,0.2,11936
2020,"Travis Shaw","TOR",13,37,31,7,5,0,0,2,2,3,6,0,10,0,0,0,0,0,0,0.225806451,11982
2020,"Jon Berti","MIA",12,27,21,5,3,2,0,0,5,2,3,0,9,2,1,0,0,3,0,0.238095238,12037
2020,"Niko Goodrum","DET",19,54,45,7,5,1,0,1,3,6,8,0,21,0,1,0,0,4,0,0.155555555,12092
2020,"Max Kepler","MIN",16,48,39,12,8,2,0,2,8,5,8,0,8,1,0,0,1,3,0,0.307692307,12144
2020,"Nick Ahmed","ARI",16,53,48,13,7,4,0,2,6,10,5,0,12,0,0,0,0,0,0,0.270833333,12147
2020,"Eddie Rosario","MIN",18,49,46,11,6,2,0,3,6,8,3,1,8,0,0,0,1,0,0,0.239130434,12155
2020,"Austin Barnes","LAD",12,33,29,8,5,2,0,1,3,7,2,0,8,0,1,1,0,1,0,0.275862068,12158
2020,"Ben Gamel","MIL",15,43,38,10,6,3,0,1,6,5,5,0,12,0,0,0,0,0,0,0.263157894,12160
2020,"Xander Bogaerts","BOS",21,66,57,14,9,2,0,3,8,12,8,0,15,0,1,0,3,3,0,0.245614035,12161
2020,"Miguel Sano","MIN",18,48,43,15,4,7,0,4,11,7,5,0,20,0,0,0,0,0,0,0.348837209,12164
2020,"Maikel Franco","KCR",18,61,56,15,7,6,0,2,9,6,5,0,11,0,0,0,2,1,0,0.267857142,12179
2020,"Rougned Odor","TEX",10,26,24,5,2,2,0,1,1,4,2,0,10,0,0,0,0,0,0,0.208333333,12282
2020,"Tommy La Stella","2 Tms",13,40,35,12,7,3,0,2,6,8,5,0,3,0,0,0,1,0,0,0.342857142,12371
2020,"Kevin Pillar","2 Tms",13,38,36,13,7,3,2,1,9,4,2,0,6,0,0,0,1,1,0,0.361111111,12434
2020,"Kolten Wong","STL",16,59,49,8,7,0,1,0,4,2,7,1,9,1,1,1,0,1,0,0.163265306,12532
2020,"Marcus Semien","OAK",15,62,58,11,11,0,0,0,7,1,4,0,16,0,0,0,1,1,0,0.189655172,12533
2020,"Eugenio Suarez","CIN",18,60,52,10,4,2,0,4,8,12,8,1,19,0,0,0,0,0,0,0.192307692,12552
2020,"Trevor Story","COL",18,67,64,20,11,7,1,1,11,6,3,0,14,0,0,0,3,1,0,0.3125,12564
2020,"Alex Dickerson","SFG",15,41,30,7,2,2,1,2,7,8,10,1,5,0,1,0,0,0,0,0.233333333,12649
2020,"Brad Miller","STL",14,51,41,12,8,2,1,1,6,6,9,1,9,1,0,0,0,1,0,0.292682926,12775
2020,"George Springer","HOU",16,49,39,7,4,1,0,2,8,4,7,0,10,3,0,0,1,0,0,0.179487179,12856
2020,"Brian Goodwin","2 Tms",16,42,38,11,2,6,1,2,5,8,4,0,12,0,0,0,0,0,0,0.289473684,12858
2020,"Anthony Rendon","LAA",20,62,46,15,8,2,1,4,10,8,15,1,8,1,0,0,3,0,0,0.326086956,12861
2020,"Gregory Polanco","PIT",16,45,41,12,5,4,0,3,5,10,3,0,15,0,1,0,0,2,0,0.292682926,12907
2020,"Francisco Lindor","CLE",18,55,50,12,8,2,0,2,5,7,5,1,14,0,0,0,3,1,0,0.24,12916
2020,"Brandon Nimmo","NYM",15,45,37,13,7,3,0,3,6,5,8,0,6,0,0,0,0,0,0,0.351351351,12927
2020,"Austin Hedges","2 Tms",13,25,22,3,2,0,0,1,3,1,1,0,8,1,0,1,1,0,0,0.136363636,12976
2020,"Michael Perez","TBR",10,24,21,4,1,2,0,1,2,6,1,0,6,1,1,0,0,0,0,0.19047619,12977
2020,"Javier Baez","CHC",18,59,56,9,6,2,0,1,6,2,2,0,21,1,0,0,2,0,0,0.160714285,12979
2020,"Cam Gallagher","KCR",10,24,21,3,2,1,0,0,1,0,3,0,5,0,0,0,0,0,0,0.142857142,12981
2020,"Jackie Bradley Jr.","BOS",21,55,49,12,8,2,0,2,8,10,4,0,10,1,1,0,1,0,0,0.244897959,12984
2020,"Teoscar Hernandez","TOR",16,55,51,15,10,0,0,5,9,9,4,0,16,0,0,0,1,1,1,0.294117647,13066
2020,"Josh Bell","PIT",17,61,53,10,7,2,0,1,2,6,6,2,15,1,1,0,0,0,0,0.188679245,13145
2020,"Jorge Polanco","MIN",19,54,48,9,7,1,0,1,3,6,4,0,11,1,0,1,1,0,1,0.1875,13152
2020,"Orlando Arcia","MIL",16,36,31,9,7,1,0,1,4,4,4,0,3,1,0,0,4,2,0,0.29032258,13185
2020,"Max Muncy","LAD",20,62,54,12,6,2,0,4,10,6,7,1,14,1,0,0,1,0,0,0.222222222,13301
2020,"Omar Narvaez","MIL",15,41,38,8,4,2,0,2,3,4,3,0,15,0,0,0,0,0,0,0.210526315,13338
2020,"Tyler Naquin","CLE",8,24,23,8,4,4,0,0,3,3,1,0,7,0,0,0,1,0,1,0.347826086,13359
2020,"Stephen Piscotty","OAK",14,47,43,9,7,1,0,1,4,7,3,0,12,1,0,0,0,3,0,0.209302325,13367
2020,"Erik Gonzalez","PIT",15,55,52,13,9,4,0,0,4,7,1,0,11,0,2,0,1,0,3,0.25,13369
2020,"Christian Walker","ARI",16,64,58,16,7,6,0,3,10,14,4,0,11,1,1,0,0,0,0,0.275862068,13419
2020,"Dwight Smith","BAL",12,38,35,6,5,0,0,1,4,3,2,1,11,1,0,0,0,1,0,0.171428571,13473
2020,"Jose  Ramirez","CLE",18,54,50,15,9,1,1,4,10,13,2,0,14,1,1,0,0,1,0,0.3,13510
2020,"Roman Quinn","PHI",14,31,30,7,5,2,0,0,2,1,1,0,10,0,0,0,0,1,0,0.233333333,13546
2020,"Jesse Winker","CIN",19,54,47,14,7,2,0,5,10,8,5,0,11,2,0,0,0,1,0,0.29787234,13590
2020,"Jose Peraza","BOS",19,38,37,10,6,4,0,0,5,3,1,0,5,0,0,0,2,0,0,0.27027027,13593
2020,"Mallex Smith","SEA",6,20,20,4,3,1,0,0,0,1,0,0,5,0,0,0,1,1,0,0.2,13608
2020,"Mookie Betts","LAD",20,69,64,25,14,1,0,10,17,20,4,0,7,1,0,0,0,0,0,0.390625,13611
2020,"Ketel Marte","ARI",14,55,53,13,9,3,0,1,5,5,1,0,6,0,1,0,1,1,0,0.245283018,13613
2020,"Carson Kelly","ARI",10,24,23,6,5,1,0,0,1,3,1,0,8,0,0,0,1,0,0,0.260869565,13620
2020,"Jeimer Candelario","DET",18,51,46,12,5,3,2,2,8,5,5,0,16,0,0,0,0,1,0,0.260869565,13621
2020,"Corey Seager","LAD",16,47,42,17,8,6,0,3,9,12,3,0,5,1,1,0,2,0,0,0.404761904,13624
2020,"Jacob Stallings","PIT",14,40,34,9,7,0,0,2,4,4,4,0,13,0,0,2,0,0,0,0.264705882,13723
2020,"David Dahl","COL",10,31,28,4,3,0,1,0,4,2,1,0,9,1,1,0,0,0,0,0.142857142,13744
2020,"Chris Taylor","LAD",16,51,42,16,11,5,0,0,10,4,7,0,6,1,0,1,1,0,1,0.38095238,13757
2020,"Adalberto Mondesi","KCR",17,53,49,10,8,2,0,0,3,2,3,0,17,0,0,1,1,6,0,0.204081632,13769
2020,"Kevin Plawecki","BOS",8,23,21,8,5,3,0,0,3,5,1,0,5,1,0,0,0,1,0,0.38095238,13807
2020,"Joey Wendle","TBR",15,44,40,11,7,2,1,1,4,2,3,0,7,1,0,0,1,2,1,0.275,13853
2020,"Rio Ruiz","BAL",19,56,46,9,5,3,0,1,6,9,8,1,11,0,1,1,1,1,0,0.195652173,14103
2020,"Joey Gallo","TEX",16,45,32,5,3,1,0,1,2,5,13,2,8,0,0,0,0,1,0,0.15625,14128
2020,"Daniel Vogelbach","2 Tms",10,30,24,2,1,0,0,1,1,2,6,1,7,0,0,0,0,0,0,0.083333333,14130
2020,"Tim Lopes","SEA",9,21,21,3,3,0,0,0,1,3,0,0,5,0,0,0,0,1,0,0.142857142,14137
2020,"Byron Buxton","MIN",14,35,34,4,4,0,0,0,3,4,0,0,10,0,1,0,1,0,1,0.117647058,14161
2020,"Carlos Correa","HOU",21,51,45,12,8,3,0,1,3,11,5,1,6,1,0,0,2,0,0,0.266666666,14162
2020,"Andrew Velazquez","BAL",16,34,28,3,2,1,0,0,4,0,4,0,9,0,0,2,0,3,1,0.107142857,14196
2020,"Jorge Soler","KCR",18,60,49,13,8,1,0,4,8,10,7,0,16,2,0,0,1,0,0,0.265306122,14221
2020,"Matt Olson","OAK",19,63,49,9,4,1,1,3,7,10,14,1,14,0,0,0,1,0,0,0.183673469,14344
2020,"Raimel Tapia","COL",16,45,37,10,9,0,1,0,7,0,7,0,7,0,0,0,0,1,2,0.27027027,14350
2020,"Jake Cave","MIN",10,22,20,6,4,0,1,1,2,3,1,0,10,1,0,0,0,0,0,0.3,14477
2020,"Renato Nunez","BAL",20,70,62,15,9,1,0,5,10,10,6,0,22,1,1,0,1,0,0,0.241935483,14503
2020,"Pedro Severino","BAL",19,60,53,16,11,2,1,2,6,7,6,0,13,0,0,1,1,0,0,0.301886792,14523
2020,"Anthony Santander","BAL",20,67,61,16,7,3,0,6,7,10,4,1,5,2,0,0,0,0,0,0.262295081,14551
2020,"Nomar Mazara","CHW",15,42,34,6,4,2,0,0,4,3,5,0,11,3,0,0,0,0,0,0.176470588,14553
2020,"Franmil Reyes","CLE",17,51,46,11,10,0,0,1,5,5,5,0,16,0,0,0,1,0,0,0.239130434,14566
2020,"David Bote","CHC",7,20,18,3,3,0,0,0,3,1,2,0,7,0,0,0,1,0,0,0.166666666,14593
2020,"Tzu-Wei Lin","BOS",8,20,19,3,3,0,0,0,1,0,0,0,8,0,0,1,1,0,0,0.157894736,14678
2020,"Harold Castro","DET",7,22,19,7,5,2,0,0,3,1,3,0,4,0,0,0,0,0,0,0.368421052,14691
2020,"Manuel Margot","TBR",10,26,21,5,3,2,0,0,3,0,5,0,5,0,0,0,0,2,0,0.238095238,14712
2020,"Luke Voit","NYY",17,60,55,21,12,3,0,6,15,13,4,0,16,1,0,0,0,0,0,0.381818181,14811
2020,"JaCoby Jones","DET",15,40,36,11,5,4,0,2,7,5,1,0,9,2,1,0,1,0,0,0.305555555,14818
2020,"Mike Yastrzemski","SFG",17,49,39,13,7,3,1,2,14,6,9,1,11,1,0,0,0,0,0,0.333333333,14854
2020,"Pat Valaika","BAL",20,41,40,14,11,2,0,1,3,6,0,0,8,0,0,1,0,0,1,0.35,14885
2020,"Tony Kemp","OAK",10,36,29,7,6,1,0,0,3,1,6,0,7,0,0,1,0,1,0,0.24137931,14894
2020,"Johan Camargo","ATL",14,47,46,8,4,4,0,0,4,3,1,0,14,0,0,0,0,0,0,0.173913043,14950
2020,"Victor Caratini","CHC",14,31,28,7,3,4,0,0,0,4,3,0,4,0,0,0,0,0,0,0.25,14968
2020,"Adam Engel","CHW",9,20,20,6,3,2,0,1,3,1,0,0,5,0,0,0,0,0,0,0.3,15082
2020,"Ryan McMahon","COL",18,53,46,11,8,1,0,2,4,8,7,0,19,0,0,0,1,0,1,0.239130434,15112
2020,"Hunter Dozier","KCR",12,46,39,10,7,0,0,3,7,7,7,0,10,0,0,0,1,0,0,0.256410256,15117
2020,"Josh VanMeter","CIN",8,21,18,2,0,1,0,1,3,1,3,0,5,0,0,0,0,1,0,0.111111111,15170
2020,"Tim Anderson","CHW",15,46,44,11,9,2,0,0,9,3,1,0,12,1,0,0,1,3,0,0.25,15172
2020,"Adam Frazier","PIT",19,68,64,13,9,2,0,2,8,7,4,0,11,0,0,0,1,1,2,0.203125,15223
2020,"Mike Tauchman","NYY",16,44,37,12,10,2,0,0,10,5,6,0,7,1,0,0,1,3,0,0.324324324,15274
2020,"Jeff McNeil","NYM",18,44,42,10,6,4,0,0,5,1,2,0,6,0,0,0,1,0,0,0.238095238,15362
2020,"Kris Bryant","CHC",11,38,35,4,2,1,0,1,3,1,3,0,12,0,0,0,1,0,0,0.114285714,15429
2020,"Hunter Renfroe","TBR",15,34,31,4,1,1,0,2,5,6,3,0,9,0,0,0,2,1,0,0.129032258,15464
2020,"Victor Reyes","DET",19,51,51,15,11,1,2,1,8,2,0,0,12,0,0,0,0,2,0,0.294117647,15487
