Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
2B/SS,Brendan Rodgers (15414779),Brendan Rodgers,15414779,2B/SS,2900,OAK@COL 09/16/2020 03:10PM ET,COL,2
OF,Abraham Almonte (15414733),Abraham Almonte,15414733,OF,2900,LAD@SD 09/16/2020 04:10PM ET,SD,1.71
OF,Avisail Garcia (15414734),Avisail Garcia,15414734,OF,2900,STL@MIL 09/16/2020 05:10PM ET,MIL,6.32
C,Omar Narvaez (15414735),Omar Narvaez,15414735,C,2900,STL@MIL 09/16/2020 05:10PM ET,MIL,4.03
OF,Sam Hilliard (15414737),Sam Hilliard,15414737,OF,2800,OAK@COL 09/16/2020 03:10PM ET,COL,6.28
1B/3B,Tyler Nevin (15414781),Tyler Nevin,15414781,1B/3B,2800,OAK@COL 09/16/2020 03:10PM ET,COL,0
OF,Tyler O'Neill (15414736),Tyler O'Neill,15414736,OF,2800,STL@MIL 09/16/2020 05:10PM ET,STL,5.35
3B/SS,Vimael Machin (15414738),Vimael Machin,15414738,3B/SS,2700,OAK@COL 09/16/2020 03:10PM ET,OAK,3.71
OF,David Dahl (15414740),David Dahl,15414740,OF,2700,OAK@COL 09/16/2020 03:10PM ET,COL,4.71
C,Elias Diaz (15414743),Elias Diaz,15414743,C,2700,OAK@COL 09/16/2020 03:10PM ET,COL,3.38
2B/OF,Jorge Mateo (15414741),Jorge Mateo,15414741,2B/OF,2700,LAD@SD 09/16/2020 04:10PM ET,SD,1.17
2B/3B,Chad Pinder (15414783),Chad Pinder,15414783,2B/3B,2600,OAK@COL 09/16/2020 03:10PM ET,OAK,4.09
1B/3B,Edwin Rios (15414744),Edwin Rios,15414744,1B/3B,2600,LAD@SD 09/16/2020 04:10PM ET,LAD,5
OF,Dylan Carlson (15414785),Dylan Carlson,15414785,OF,2600,STL@MIL 09/16/2020 05:10PM ET,STL,3.74
C,Drew Butera (15414748),Drew Butera,15414748,C,2500,OAK@COL 09/16/2020 03:10PM ET,COL,1.68
SS,Robert Puason (15414787),Robert Puason,15414787,SS,2500,OAK@COL 09/16/2020 03:10PM ET,OAK,0
OF,Joc Pederson (15414746),Joc Pederson,15414746,OF,2500,LAD@SD 09/16/2020 04:10PM ET,LAD,5.26
2B,Greg Garcia (15414747),Greg Garcia,15414747,2B,2500,LAD@SD 09/16/2020 04:10PM ET,SD,2.87
1B,Logan Morrison (15414786),Logan Morrison,15414786,1B,2500,STL@MIL 09/16/2020 05:10PM ET,MIL,3.78
1B,John Nogowski (15414788),John Nogowski,15414788,1B,2500,STL@MIL 09/16/2020 05:10PM ET,STL,3
C,Tony Wolters (15414749),Tony Wolters,15414749,C,2400,OAK@COL 09/16/2020 03:10PM ET,COL,2.86
SS,Logan Davidson (15414790),Logan Davidson,15414790,SS,2400,OAK@COL 09/16/2020 03:10PM ET,OAK,0
C,Kyle McCann (15414791),Kyle McCann,15414791,C,2400,OAK@COL 09/16/2020 03:10PM ET,OAK,0
SS,Nick Allen (15414792),Nick Allen,15414792,SS,2400,OAK@COL 09/16/2020 03:10PM ET,OAK,0
C,Keibert Ruiz (15414789),Keibert Ruiz,15414789,C,2400,LAD@SD 09/16/2020 04:10PM ET,LAD,8.5
OF,Harrison Bader (15414750),Harrison Bader,15414750,OF,2400,STL@MIL 09/16/2020 05:10PM ET,STL,4.81
OF,Dexter Fowler (15414793),Dexter Fowler,15414793,OF,2400,STL@MIL 09/16/2020 05:10PM ET,STL,6.78
3B,Evan Mendoza (15414794),Evan Mendoza,15414794,3B,2400,STL@MIL 09/16/2020 05:10PM ET,STL,0
