PLAYER,POS,TEAM,OPP,START,SAL,FPTS,VAL,FPTS L5,VAL L5,FPTS AVG,VAL AVG,WEATHER
Ryan Mountcastle,C1,BAL,NYM,6,3000,9.8,3.3,9.4,3.1,9.3,3.1,W 9 Out
Jose Peraza,2B,BOS,ATL,1,2200,9.8,4.5,5.5,2.5,5.7,2.6,W 10 R-L
Aledmys Diaz,3B,HOU,TEX,8,2000,9.8,4.9,3.1,1.6,3.1,1.6,In Dome
Adalberto Mondesi,SS,KC,CLE,7,2500,9.8,3.9,3.0,1.2,5.6,2.2,W 4 R-L
Randal Grichuk,OF,TOR,@MIA,2,3300,9.7,3.0,10.7,3.2,12.6,3.8,In Dome
Chris Taylor,SS,LAD,ARI,6,2600,9.7,3.7,10.1,3.9,8.5,3.3,W 6 Out
Tim Anderson,SS,CWS,@MIN,1,3600,9.7,2.7,9.2,2.6,13.4,3.7,W 8 R-L
Cavan Biggio,2B,TOR,@MIA,1,3700,9.7,2.6,6.9,1.9,12.5,3.4,In Dome
Maikel Franco,3B,KC,CLE,5,2700,9.6,3.6,11.8,4.4,9.3,3.4,W 4 R-L
Garrett Cooper,C1,MIA,TOR,6,2800,9.6,3.4,15.7,5.6,13.0,4.7,In Dome
Cesar Hernandez,2B,CLE,@KC,1,2800,9.6,3.4,6.0,2.2,9.2,3.3,W 4 R-L
Mauricio Dubon,SS,SF,@COL,9,2500,9.6,3.8,7.6,3.0,5.9,2.3,W 3 R-L
Cedric Mullins,OF,BAL,NYM,1,2000,9.6,4.8,2.4,1.2,4.7,2.4,W 9 Out
Jose Iglesias,SS,BAL,NYM,3,2500,9.5,3.8,10.7,4.3,9.5,3.8,W 9 Out
Josh Bell,C1,PIT,CHC,3,2800,9.5,3.4,13.1,4.7,7.5,2.7,W 8 Out
Adam Eaton,OF,WAS,@PHI,2,2700,9.5,3.5,7.4,2.8,9.3,3.4,W 8 Out
Daniel Robertson,3B,SF,@COL,8,2600,9.5,3.6,3.1,1.2,3.1,1.2,W 3 R-L
Miguel Cabrera,C1,DET,@MIL,3,2700,9.4,3.5,14.5,5.4,9.0,3.3,In Dome
