"Name","Team","HR/9","HR/FB","ERA","FIP","xFIP","WHIP","Strikes","FA% (pfx)","wFA/C (pfx)","FT% (pfx)","wFT/C (pfx)","FC% (pfx)","wFC/C (pfx)","FS% (pfx)","wFS/C (pfx)","FO% (pfx)","wFO/C (pfx)","SI% (pfx)","wSI/C (pfx)","SL% (pfx)","wSL/C (pfx)","CU% (pfx)","wCU/C (pfx)","KC% (pfx)","wKC/C (pfx)","EP% (pfx)","wEP/C (pfx)","CH% (pfx)","wCH/C (pfx)","SC% (pfx)","wSC/C (pfx)","KN% (pfx)","wKN/C (pfx)","GS","Start-IP","playerid"
"Nathan Eovaldi","Red Sox","1.83","21.2%","4.98","4.62","3.85","1.31","364","38.3%","0.09","","","31.1%","-1.20","13.7%","-0.68","","","","","","","16.9%","5.23","","","","","","","","","","","6","34.1","9132"
"Mike Kickham","Red Sox","3.00","30.0%","5.00","6.52","4.36","1.56","110","13.4%","-6.50","","","","","","","","","1.9%","5.09","54.1%","-0.74","30.6%","-2.14","","","","","","","","","","","1","4.0","11618"
"Alex Cobb","Orioles","1.83","27.6%","5.03","5.43","4.22","1.40","398","45.1%","-1.79","","","","","37.0%","2.36","","","","","","","","","17.9%","0.06","","","","","","","","","8","39.1","6562"
"Jon Lester","Cubs","1.75","15.3%","5.05","5.09","5.05","1.34","490","27.0%","-1.78","","","32.6%","0.17","","","","","13.3%","0.40","","","14.2%","-0.76","","","","","13.0%","0.71","","","","","9","46.1","4930"
"Mike Fiers","Athletics","1.50","12.3%","5.06","5.23","5.71","1.42","473","28.7%","1.02","","","","","","","","","15.7%","0.58","27.4%","0.88","12.8%","5.30","","","","","15.4%","-2.23","","","","","9","48.0","7754"
"Erick Fedde","Nationals","1.93","24.2%","5.06","6.75","5.69","1.61","381","12.5%","-1.67","","","17.3%","0.41","9.6%","6.10","","","42.3%","-1.30","","","18.4%","3.20","","","","","","","","","","","6","27.0","17425"
"Luis Perdomo","Padres","1.69","25.0%","5.06","5.56","4.59","1.31","162","2.4%","-4.87","","","","","21.4%","3.80","","","42.7%","-0.03","33.5%","3.65","","","","","","","","","","","","","1","1.0","14682"
"Emilio Pagan","Padres","1.69","12.5%","5.06","5.44","5.93","1.25","174","66.3%","0.27","","","30.8%","5.08","","","","","0.4%","-3.63","","","2.5%","18.96","","","","","","","","","","","0","","14771"
"Reggie McClain","Phillies","1.69","14.3%","5.06","6.56","6.69","2.25","62","","","","","","","","","","","78.6%","-1.16","12.2%","3.09","","","","","","","9.2%","-11.74","","","","","0","","19311"
"Matt Barnes","Red Sox","1.53","33.3%","5.09","4.94","3.73","1.53","219","52.8%","-0.17","","","","","1.1%","9.05","","","","","","","","","46.1%","1.93","","","","","","","","","0","","12863"
"Caleb Baragar","Giants","1.53","9.7%","5.09","4.43","5.66","0.96","187","72.0%","0.15","","","","","","","","","0.7%","0.34","22.7%","2.72","4.3%","0.03","","","","","0.4%","7.07","","","","","0","","19231"
"Corey Oswalt","Mets","2.19","15.8%","5.11","5.46","5.31","1.22","129","46.6%","-3.85","","","","","","","","","8.3%","-3.30","25.7%","3.93","1.9%","-20.16","","","","","17.5%","4.70","","","","","1","4.1","13677"
"Kyle Ryan","Cubs","2.92","30.8%","5.11","7.00","4.85","1.46","138","15.5%","1.95","","","40.5%","-3.94","","","","","35.5%","0.95","","","8.6%","5.43","","","","","","","","","","","0","","11753"
"Andrew Suarez","Giants","1.29","10.0%","5.14","6.05","6.98","2.00","70","10.3%","-1.94","","","","","","","","","37.3%","0.33","25.4%","2.92","","","","","","","27.0%","-2.08","","","","","0","","18300"
"Hector Neris","Phillies","0.00","0.0%","5.14","2.62","4.29","1.86","164","38.7%","1.42","","","","","49.8%","1.16","","","11.5%","-1.60","","","","","","","","","","","","","","","0","","11804"
"Hoby Milner","Angels","1.29","14.3%","5.14","5.48","5.57","1.14","77","","","","","","","","","","","51.6%","3.85","","","46.0%","0.89","","","","","2.4%","-10.67","","","","","0","","13346"
"Tommy Hunter","Phillies","0.52","7.1%","5.19","3.25","4.08","1.33","199","2.0%","6.43","","","35.4%","2.00","","","","","39.3%","-0.45","","","23.3%","2.44","","","","","","","","","","","0","","1157"
"Logan Webb","Giants","0.44","6.9%","5.23","3.67","4.42","1.48","465","33.3%","-0.68","","","5.9%","-2.98","","","","","10.0%","-2.36","17.0%","0.83","","","","","","","33.8%","3.53","","","","","9","41.1","17995"
"Casey Sadler","- - -","1.74","25.0%","5.23","6.29","5.28","1.65","117","0.5%","","","","25.6%","2.52","","","","","38.4%","0.90","","","35.5%","4.97","","","","","","","","","","","0","","11209"
"Michael Lorenzen","Reds","1.31","15.0%","5.23","5.46","5.47","1.65","220","33.2%","2.98","","","19.4%","-4.06","","","","","8.2%","0.90","15.1%","3.26","6.6%","5.68","","","","","17.5%","1.06","","","","","0","","14843"
"Shaun Anderson","Giants","2.61","27.3%","5.23","8.03","6.34","1.84","112","37.1%","-0.75","","","","","","","","","1.5%","-44.51","54.0%","2.56","1.0%","0.92","","","","","6.4%","7.55","","","","","0","","19453"
"Taylor Hearn","Rangers","1.50","13.3%","5.25","5.11","5.38","1.50","144","47.4%","3.01","","","","","","","","","18.0%","1.81","26.1%","1.32","","","","","","","8.6%","-2.45","","","","","0","","18325"
"Keynan Middleton","Angels","1.50","11.1%","5.25","5.02","5.79","1.50","135","59.1%","0.40","","","","","","","","","","","22.4%","3.76","","","","","","","18.6%","-1.88","","","","","0","","15264"
"Nick Nelson","Yankees","0.66","12.5%","5.27","3.99","4.19","1.61","154","56.2%","0.47","","","","","","","","","","","9.6%","1.52","8.4%","4.92","","","","","25.9%","1.93","","","","","0","","20153"
"Brooks Raley","- - -","1.76","23.1%","5.28","4.75","3.87","1.04","169","14.2%","2.85","","","42.7%","-0.31","","","","","11.5%","-0.39","16.5%","3.03","11.2%","4.70","","","","","3.9%","2.33","","","","","0","","10061"
"Chris Mazza","Red Sox","1.06","12.5%","5.29","4.25","4.56","1.71","196","15.9%","1.20","","","25.8%","1.29","","","","","25.5%","-1.96","30.6%","2.83","","","","","","","2.2%","3.89","","","","","4","14.1","14151"
"David Phelps","- - -","2.65","35.7%","5.29","5.25","3.04","1.12","176","22.1%","4.17","","","29.3%","-2.26","","","","","23.9%","3.92","","","","","24.6%","1.61","","","","","","","","","0","","6316"
"Dennis Santana","Dodgers","2.12","25.0%","5.29","5.72","4.50","1.29","187","4.2%","0.11","","","","","","","","","34.5%","-0.73","46.1%","0.61","","","","","","","15.1%","5.60","","","","","0","","17878"
"Tyler Chatwood","Cubs","0.96","11.1%","5.30","3.35","3.84","1.66","205","7.9%","-1.01","","","30.2%","1.48","","","","","44.1%","-1.50","","","13.3%","-0.43","","","","","4.5%","4.91","","","","","5","18.2","4338"
"Adam Plutko","Indians","1.52","11.4%","5.32","5.26","5.95","1.35","263","50.0%","1.65","","","","","","","","","","","32.5%","3.38","12.7%","-4.87","","","","","4.8%","2.31","","","","","4","16.0","15846"
"Trevor Richards","Rays","1.26","9.3%","5.34","4.34","5.46","1.67","339","50.7%","-1.00","","","","","","","","","","","","","17.8%","0.45","","","","","31.6%","0.93","","","","","3","13.1","19309"
"Ryan Castellani","Rockies","2.83","25.0%","5.34","7.52","5.89","1.36","293","30.0%","-3.77","","","","","","","","","18.1%","-0.12","20.0%","2.12","12.1%","1.41","","","","","19.8%","2.75","","","","","6","26.2","16377"
"Jonathan Brubaker","Pirates","1.19","14.8%","5.34","4.18","4.20","1.48","334","14.3%","-0.26","","","","","","","","","33.3%","-1.98","35.6%","1.79","12.8%","1.48","","","","","4.0%","2.92","","","","","6","25.1","17578"
"Nick Margevicius","Mariners","1.48","14.3%","5.34","4.21","4.32","1.25","331","62.7%","0.24","","","","","","","","","","","16.4%","3.95","11.7%","4.40","","","","","9.3%","1.35","","","","","5","25.1","20395"
"Ryan Weber","Red Sox","2.04","20.0%","5.35","6.25","5.52","1.42","336","1.3%","9.01","","","9.0%","3.56","","","","","46.3%","-0.11","","","22.7%","0.92","","","","","20.7%","0.29","","","","","5","19.0","10160"
"Yusei Kikuchi","Mariners","0.49","8.0%","5.35","2.68","3.29","1.19","384","37.6%","0.49","","","41.5%","0.31","","","","","","","15.0%","2.88","","","","","","","5.9%","9.56","","","","","7","37.0","20633"
"Jose Urena","Marlins","0.00","0.0%","5.40","5.39","8.13","1.40","46","20.5%","3.22","","","","","","","","","32.5%","-3.83","38.6%","2.97","","","","","","","8.4%","10.73","","","","","1","5.0","11589"
"Tyson Miller","Cubs","1.80","25.0%","5.40","7.59","6.55","1.00","47","50.0%","-0.29","","","23.7%","7.47","","","","","6.6%","-2.83","13.2%","3.16","6.6%","7.56","","","","","","","","","","","1","2.0","19976"
"Matt Davidson","Reds","2.70","20.0%","5.40","8.29","7.32","1.80","31","15.2%","15.08","","","","","","","","","65.2%","-4.64","","","10.9%","15.50","","","","","8.7%","1.10","","","","","0","","7226"
"Artie Lewicki","Diamondbacks","0.00","0.0%","5.40","1.09","4.61","2.40","41","33.3%","-13.52","","","","","","","","","","","49.1%","5.36","10.5%","-11.77","","","","","7.0%","0.83","","","","","0","","16731"
"Beau Burrows","Tigers","4.05","27.3%","5.40","9.04","6.42","1.35","66","38.2%","-10.23","","","","","","","","","16.4%","4.90","25.5%","1.71","5.5%","3.09","","","","","14.6%","7.18","","","","","0","","18873"
"Humberto Mejia","Marlins","2.70","18.8%","5.40","6.99","6.22","1.90","134","52.2%","-1.36","","","","","","","","","","","17.1%","-3.36","21.0%","0.37","","","","","9.8%","-1.91","","","","","3","10.0","20739"
"Joe Musgrove","Pirates","1.66","23.5%","5.40","5.13","4.26","1.57","250","28.4%","-0.18","","","6.8%","-1.84","","","","","10.9%","-1.82","25.0%","0.79","18.5%","2.61","","","","","10.4%","-3.28","","","","","5","21.2","12970"
"Trevor May","Twins","2.70","29.4%","5.40","4.45","2.54","1.38","184","45.3%","-1.60","","","","","","","","","4.3%","2.51","33.7%","3.54","","","","","","","16.7%","-0.22","","","","","0","","6398"
"Duane Underwood Jr.","Cubs","2.16","23.5%","5.40","4.75","3.62","1.20","168","32.2%","2.04","","","","","","","","","9.7%","-3.76","2.6%","2.40","24.0%","1.84","","","","","31.5%","0.27","","","","","0","","14677"
"Glenn Sparkman","Royals","0.00","0.0%","5.40","2.99","6.90","2.00","61","44.4%","-0.77","","","","","","","","","","","46.7%","-3.19","5.6%","-1.58","","","","","3.3%","16.46","","","","","0","","15200"
"Nick Mears","Pirates","1.80","25.0%","5.40","7.19","6.15","2.20","62","67.5%","-0.22","","","","","","","","","0.9%","-4.51","","","31.6%","2.61","","","","","","","","","","","0","","25376"
"Drew Butera","Rockies","0.00","0.0%","5.40","1.99","5.51","1.80","22","3.2%","0.00","","","","","","","","","","","","","74.2%","-5.12","","","","","22.6%","-3.09","","","","","0","","3411"
"Adrian Houser","Brewers","1.27","28.6%","5.48","4.71","3.85","1.45","437","16.7%","-1.07","","","","","","","","","48.5%","1.32","11.3%","-3.61","11.2%","1.16","","","","","12.2%","0.34","","","","","8","42.2","12718"
"Steve Cishek","White Sox","2.20","20.0%","5.51","6.13","5.34","1.47","183","4.0%","11.42","","","","","","","","","44.2%","-3.35","51.2%","2.95","","","","","","","0.7%","5.48","","","","","0","","6483"
"Luis Patino","Padres","1.84","13.6%","5.52","6.12","6.40","1.77","168","65.0%","0.12","","","","","","","","","","","18.2%","3.63","","","","","","","16.8%","-2.20","","","","","0","","22815"
"Jake Arrieta","Phillies","1.15","16.7%","5.54","4.57","4.41","1.49","384","0.2%","","","","","","","","","","54.0%","-0.95","23.4%","2.49","7.6%","4.83","","","","","14.9%","3.23","","","","","8","39.0","4153"
"Jakob Junis","Royals","2.57","23.1%","5.57","6.57","5.28","1.48","215","36.5%","0.61","","","","","","","","","15.5%","-2.95","43.3%","-0.15","","","","","","","4.6%","-19.85","","","","","5","21.0","13619"
"Stephen Tarpley","Marlins","0.93","12.5%","5.59","4.64","4.91","1.45","91","2.1%","9.57","","","","","","","","","64.1%","1.47","","","33.8%","3.34","","","","","","","","","","","0","","15859"
"Tanner Roark","Blue Jays","2.55","21.7%","5.60","6.81","5.68","1.73","387","30.5%","-1.53","","","","","","","","","26.1%","-1.06","15.5%","2.71","14.5%","2.55","","","","","13.5%","-1.08","","","","","8","35.1","8753"
"Cole Sulser","Orioles","1.02","10.0%","5.60","5.23","5.97","1.47","195","58.3%","0.47","","","","","","","","","","","15.3%","1.30","","","","","","","26.4%","5.84","","","","","0","","15256"
"Colten Brewer","Red Sox","2.10","31.6%","5.61","6.03","4.44","1.75","328","1.0%","2.09","","","44.1%","-2.08","","","","","0.8%","6.24","21.3%","2.27","32.8%","1.87","","","","","","","","","","","4","14.1","12997"
"Carson Fulmer","- - -","1.13","11.1%","5.63","4.31","4.89","1.38","82","53.9%","-0.98","","","5.0%","2.66","","","","","","","","","13.5%","-7.99","","","","","27.7%","3.07","","","","","0","","18311"
"Matt Andriese","Angels","1.21","14.3%","5.64","4.49","4.58","1.34","233","34.5%","-0.25","","","7.6%","7.63","","","","","8.6%","-8.80","","","11.1%","6.97","","","","","38.3%","2.44","","","","","1","1.2","12022"
"Spencer Howard","Phillies","2.18","17.9%","5.66","5.90","5.40","1.74","245","57.6%","0.52","","","","","","","","","","","19.3%","-0.43","5.9%","-5.11","","","","","17.2%","-4.28","","","","","5","20.2","23252"
"J.P. Feyereisen","Brewers","2.84","20.0%","5.68","8.08","7.07","1.11","61","55.7%","1.79","","","","","","","","","","","26.4%","1.00","","","","","","","17.9%","1.49","","","","","0","","16610"
"Jordan Montgomery","Yankees","1.59","17.9%","5.72","4.71","4.35","1.41","321","19.2%","0.91","","","8.9%","-0.59","","","","","24.9%","-0.36","","","20.7%","2.05","","","","","26.3%","0.12","","","","","7","28.1","16511"
"Tyler Rogers","Giants","0.82","11.8%","5.73","3.74","4.06","1.36","237","55.5%","1.80","","","","","","","","","9.5%","5.51","","","35.0%","0.96","","","","","","","","","","","0","","15541"
"Frankie Montas","Athletics","1.19","11.9%","5.73","4.54","5.00","1.54","414","24.3%","2.59","","","","","12.8%","-1.23","","","38.5%","0.39","24.5%","2.19","","","","","","","","","","","","","8","37.2","14309"
"Lance McCullers Jr.","Astros","0.96","18.2%","5.79","4.56","4.31","1.42","391","2.2%","5.72","","","0.9%","-10.10","","","","","39.5%","-1.01","","","","","35.0%","-0.39","","","22.4%","4.36","","","","","8","37.1","14120"
"Colin Rea","Cubs","1.93","20.0%","5.79","4.98","4.28","1.21","164","39.5%","-1.34","","","17.7%","0.28","11.5%","-0.35","","","11.5%","-2.83","","","19.3%","-0.46","","","","","0.4%","5.92","","","","","2","5.1","12317"
"Brandon Bielak","Astros","2.57","23.5%","5.79","7.05","5.71","1.61","315","51.3%","0.03","","","12.4%","-2.14","","","","","","","10.3%","1.84","7.7%","-2.47","","","","","18.3%","5.69","","","","","6","21.2","19866"
"Trevor Williams","Pirates","2.23","22.2%","5.80","5.94","4.90","1.51","457","43.9%","-1.96","","","","","","","","","8.3%","-1.46","23.2%","-0.35","6.8%","0.17","","","","","17.8%","0.60","","","","","8","40.1","16977"
"Chase Anderson","Blue Jays","2.05","21.4%","5.81","5.28","4.40","1.56","301","33.7%","-2.15","","","20.2%","2.15","","","","","6.5%","3.71","","","16.8%","1.30","","","","","22.8%","0.93","","","","","7","26.1","6895"
"Vince Velasquez","Phillies","1.80","22.2%","5.85","4.84","4.00","1.60","244","55.3%","-1.14","","","","","","","","","3.2%","5.16","11.6%","-1.36","","","15.1%","2.17","","","14.8%","-0.18","","","","","4","17.0","11189"
"Casey Mize","Tigers","1.35","14.3%","5.85","4.84","4.94","1.40","234","26.9%","1.40","","","","","21.1%","1.92","","","22.4%","-0.28","18.9%","3.48","","","10.7%","-4.22","","","","","","","","","5","20.0","20492"
"Adam Morgan","Phillies","3.52","33.3%","5.87","6.58","3.79","1.70","82","22.8%","-1.31","","","","","","","","","5.7%","0.78","52.0%","0.47","6.5%","-16.58","","","","","13.0%","-3.21","","","","","0","","12580"
"Sean Doolittle","Nationals","3.52","20.0%","5.87","8.28","7.02","1.70","87","81.9%","-1.29","","","","","5.5%","-15.23","","","","","12.6%","11.98","","","","","","","","","","","","","0","","1581"
"Ross Stripling","- - -","2.61","23.1%","5.88","6.53","5.21","1.52","449","44.3%","-2.82","","","","","","","","","0.4%","-1.83","12.2%","-2.78","","","26.5%","2.54","","","16.5%","2.66","","","","","8","37.3","13273"
"Josh Osich","- - -","2.95","40.0%","5.89","5.81","3.15","1.36","191","22.2%","-1.35","","","48.8%","-1.98","","","","","14.3%","-2.06","14.7%","4.26","","","","","","","","","","","","","1","2.0","11528"
"Will Smith","Braves","5.06","35.3%","5.91","9.10","4.90","1.13","105","39.2%","2.57","","","","","","","","","","","50.9%","-2.78","9.9%","-4.54","","","","","","","","","","","0","","8048"
"Aroldis Chapman","Yankees","3.00","33.3%","6.00","6.19","3.81","1.33","72","66.1%","2.96","","","","","","","","","4.6%","-21.73","29.4%","-4.26","","","","","","","","","","","","","0","","10233"
"Jose Quintana","Cubs","1.50","25.0%","6.00","3.36","2.49","1.33","68","43.1%","2.99","","","","","","","","","14.7%","-3.50","","","36.2%","1.97","","","","","6.0%","0.95","","","","","0","","11423"
"Joel Kuhnel","Reds","6.00","28.6%","6.00","9.86","5.75","1.33","33","38.6%","-6.08","","","","","","","","","19.3%","5.77","35.1%","-0.64","","","","","","","7.0%","4.51","","","","","0","","19995"
"Jose Alvarado","Rays","2.00","25.0%","6.00","5.86","4.71","1.67","117","","","","","10.3%","3.38","","","","","76.8%","-2.24","","","12.9%","4.53","","","","","","","","","","","0","","17780"
"Cy Sneed","Astros","1.20","8.7%","6.00","4.46","5.72","2.00","199","","","","","69.9%","-0.59","","","","","","","14.6%","4.00","14.2%","-1.95","","","","","1.3%","10.80","","","","","0","","16106"
"Ty Buttrey","Angels","0.81","10.0%","6.04","4.22","4.81","1.43","227","59.1%","-1.01","","","","","","","","","","","23.7%","2.69","","","","","","","17.2%","1.07","","","","","0","","14719"
"Josh Lindblom","Brewers","1.65","16.7%","6.06","4.66","4.43","1.44","359","34.3%","-0.87","","","18.1%","-1.86","11.5%","5.94","","","","","17.7%","2.44","9.3%","1.61","","","","","9.1%","-3.54","","","","","7","30.2","7882"
"Lewis Thorpe","Twins","2.20","17.4%","6.06","6.99","6.56","2.08","168","47.4%","-1.99","","","","","","","","","","","30.2%","1.76","8.5%","-4.30","","","","","14.0%","2.78","","","","","1","4.0","15906"
"Rick Porcello","Mets","0.42","4.2%","6.07","2.89","4.47","1.56","471","10.1%","2.39","","","","","","","","","42.7%","-0.92","28.7%","0.10","6.0%","-1.54","","","","","12.6%","0.40","","","","","9","43.0","2717"
"Matt Magill","Mariners","2.61","25.0%","6.10","6.58","5.07","1.45","107","32.8%","0.64","","","","","","","","","","","39.0%","-1.01","28.3%","1.29","","","","","","","","","","","0","","3950"
"Dellin Betances","Mets","0.00","0.0%","6.10","4.25","5.96","1.65","110","48.4%","2.93","","","","","","","","","","","10.9%","7.08","","","40.6%","0.74","","","","","","","","","0","","6216"
"Dan Altavilla","- - -","1.84","18.8%","6.14","4.83","4.30","1.57","164","46.8%","2.18","","","","","","","","","","","51.3%","0.87","","","","","","","1.9%","2.97","","","","","0","","16507"
"Nate Jones","Reds","2.45","23.5%","6.14","5.71","4.43","1.64","186","2.4%","-9.44","","","","","","","","","50.5%","-1.32","46.7%","2.20","","","","","","","0.4%","-6.18","","","","","0","","4696"
"Taylor Williams","- - -","0.61","6.7%","6.14","3.39","4.51","1.43","162","43.8%","1.00","","","","","","","","","1.5%","5.80","54.8%","2.99","","","","","","","","","","","","","0","","14899"
"Michael King","Yankees","2.05","16.7%","6.14","5.78","5.49","1.27","229","5.2%","-1.84","","","","","","","","","59.6%","-1.17","","","18.9%","7.57","","","","","16.1%","0.54","","","","","3","11.1","19853"
"Kyle Gibson","Rangers","2.05","32.4%","6.14","6.13","4.54","1.66","509","15.2%","-0.12","","","","","","","","","34.4%","-1.31","23.6%","0.79","7.3%","-3.52","","","","","19.5%","0.52","","","","","9","48.1","10123"
"Jimmy Cordero","White Sox","1.04","14.3%","6.23","4.05","4.13","1.62","198","7.0%","-4.39","","","4.0%","-0.92","","","","","61.5%","1.34","10.7%","4.43","","","4.0%","-1.71","","","12.7%","-7.25","","","","","0","","15690"
"Nick Goody","Rangers","2.08","18.2%","6.23","5.61","5.09","1.62","107","42.2%","-0.51","","","","","","","","","","","57.8%","1.71","","","","","","","","","","","","","0","","13685"
"Austin Brice","Red Sox","1.45","15.8%","6.27","5.06","4.97","1.55","204","34.7%","1.64","","","","","","","","","27.1%","-0.59","","","37.4%","0.83","","","","","0.9%","-14.88","","","","","1","1.0","17237"
"Jacob Waguespack","Blue Jays","0.00","0.0%","6.32","3.06","5.06","1.91","211","44.3%","2.22","","","18.7%","-2.00","","","","","7.3%","-4.02","","","10.8%","-0.62","","","","","19.0%","-2.01","","","","","0","","18318"
"John Schreiber","Tigers","1.15","10.0%","6.32","4.02","4.86","1.47","181","48.4%","-2.98","","","","","","","","","3.6%","-4.87","","","34.5%","1.44","","","","","13.5%","3.03","","","","","0","","20020"
"Anibal Sanchez","Nationals","2.11","17.0%","6.34","5.77","5.42","1.72","437","27.8%","-3.26","","","22.0%","-0.32","29.2%","2.47","","","8.4%","-7.80","","","6.7%","-3.78","","","","","6.0%","0.93","","","","","8","38.1","3284"
"Mike Minor","- - -","2.04","18.4%","6.35","5.38","4.85","1.39","459","45.9%","0.73","","","","","","","","","","","24.6%","-0.69","","","6.1%","2.98","","","23.5%","2.74","","","","","8","38.2","10021"
"Edinson Volquez","Rangers","0.00","0.0%","6.35","3.72","5.44","1.41","67","9.3%","2.34","","","","","","","","","41.7%","-0.80","","","","","18.5%","2.97","","","30.6%","2.85","","","","","0","","3990"
"Jorge Lopez","- - -","1.13","14.3%","6.38","4.48","4.57","1.33","235","23.6%","1.19","","","","","","","","","38.7%","-0.39","","","","","29.2%","2.79","","","8.5%","-3.65","","","","","3","14.1","14527"
"Carlos Estevez","Rockies","1.83","17.4%","6.41","4.87","4.51","1.58","225","61.5%","1.81","","","","","","","","","","","24.2%","-4.54","","","","","","","14.2%","-0.38","","","","","0","","14542"
"David Hess","Orioles","1.29","9.1%","6.43","5.62","6.83","1.71","74","67.5%","-1.79","","","","","","","","","","","21.4%","-2.00","3.4%","15.29","","","","","7.7%","14.30","","","","","0","","16130"
"Asher Wojciechowski","Orioles","2.83","22.0%","6.43","6.79","5.50","1.57","388","45.6%","-0.34","","","","","","","","","","","21.6%","0.39","27.0%","-0.82","","","","","5.7%","-1.97","","","","","7","31.1","10836"
"Drew Smith","Mets","2.57","18.2%","6.43","5.76","5.12","1.14","68","46.8%","-0.47","","","31.2%","0.07","","","","","","","","","11.9%","3.06","","","","","10.1%","0.02","","","","","0","","17755"
"Ryne Harper","Nationals","1.62","15.0%","6.48","4.15","4.16","1.56","189","38.6%","-6.59","","","","","","","","","","","49.8%","0.98","10.9%","10.54","","","","","0.4%","6.34","","","","","0","","12680"
"Trevor Rogers","Marlins","2.50","26.3%","6.50","5.41","3.86","1.50","220","45.8%","-0.69","","","","","","","","","16.4%","-6.35","17.9%","3.48","","","","","","","19.9%","2.51","","","","","4","18.0","22286"
"Wade Miley","Reds","0.73","14.3%","6.57","4.89","4.95","1.78","149","10.8%","-0.53","","","46.9%","-0.12","","","","","4.2%","-10.24","1.5%","5.88","11.5%","3.38","","","","","24.6%","2.56","","","","","4","12.1","8779"
"Ian Gibaut","Rangers","1.46","20.0%","6.57","5.46","4.94","1.62","137","54.4%","0.63","","","","","","","","","","","27.8%","1.60","1.7%","0.57","","","","","16.2%","3.71","","","","","0","","17871"
"John Means","Orioles","3.12","24.3%","6.58","7.19","5.47","1.23","291","46.8%","-0.68","","","","","","","","","","","12.8%","2.94","10.6%","3.20","","","","","29.8%","-1.27","","","","","7","26.0","16269"
"Yoan Lopez","Diamondbacks","2.63","25.0%","6.59","6.99","5.48","1.68","138","49.5%","1.92","","","","","","","","","0.5%","5.92","50.0%","-0.47","","","","","","","","","","","","","0","","17181"
"Jacob Barnes","Angels","0.60","8.3%","6.60","2.86","3.55","1.40","166","47.2%","1.44","","","51.7%","-0.48","","","","","","","","","","","","","","","1.1%","-18.74","","","","","0","","12323"
"Nate Pearson","Blue Jays","2.76","22.7%","6.61","7.66","6.31","1.53","180","50.0%","1.36","","","","","","","","","","","36.7%","-1.11","6.3%","1.67","","","","","7.0%","4.41","","","","","4","16.1","20160"
"James Paxton","Yankees","1.77","14.3%","6.64","4.37","4.50","1.48","234","56.7%","-1.02","","","14.9%","-0.38","","","","","","","","","","","15.7%","5.00","","","12.6%","3.83","","","","","5","20.1","11828"
"Tommy Milone","- - -","2.08","17.3%","6.69","4.75","4.36","1.56","454","42.8%","-0.30","","","","","","","","","2.6%","-0.93","11.5%","-0.63","4.2%","-3.09","","","","","39.0%","-1.95","","","","","9","38.3","7608"
"Jon Gray","Rockies","1.38","11.3%","6.69","5.06","5.72","1.44","423","39.2%","1.76","","","","","","","","","10.2%","1.30","29.2%","0.47","8.4%","2.96","","","","","13.1%","-5.78","","","","","8","39.0","14916"
"Patrick Sandoval","Angels","2.38","26.1%","6.75","6.37","4.91","1.54","236","48.3%","1.19","","","","","","","","","","","20.3%","2.90","8.4%","-3.87","","","","","23.0%","1.29","","","","","5","22.2","19447"
"Huascar Ynoa","Braves","1.23","14.3%","6.75","6.33","6.42","1.91","172","42.8%","-1.44","","","","","","","","","","","47.3%","2.07","","","","","","","9.9%","-3.37","","","","","3","5.2","20468"
"Kendall Graveman","Mariners","1.69","16.7%","6.75","4.97","4.73","1.41","124","11.6%","-3.95","","","9.3%","-2.82","","","","","54.6%","1.32","8.3%","1.79","","","","","","","16.2%","-0.04","","","","","2","8.2","15514"
"Ricardo Sanchez","Cardinals","1.69","14.3%","6.75","7.50","7.63","1.88","67","47.9%","-2.00","","","","","","","","","1.7%","-1.23","15.4%","2.92","17.1%","2.53","","","","","18.0%","6.74","","","","","0","","17581"
"Bryse Wilson","Braves","1.35","10.0%","6.75","7.09","8.07","2.25","94","50.3%","-1.07","","","","","","","","","4.5%","0.69","27.1%","2.87","8.4%","2.02","","","","","9.7%","-2.70","","","","","0","","19990"
"Devin Smeltzer","Twins","1.13","9.5%","6.75","4.06","5.01","1.50","166","33.2%","0.40","","","","","","","","","","","18.3%","-1.96","11.6%","-2.17","","","","","36.9%","0.58","","","","","1","4.1","19487"
"Craig Kimbrel","Cubs","1.50","25.0%","6.75","5.02","4.16","1.67","141","59.4%","-1.37","","","","","","","","","","","","","","","40.7%","4.01","","","","","","","","","0","","6655"
"Tyler Kinley","Rockies","0.56","7.1%","6.75","4.13","5.03","1.31","156","33.5%","-0.23","","","","","","","","","","","60.4%","2.57","","","","","","","6.2%","9.10","","","","","0","","18297"
"Kevin Ginkel","Diamondbacks","1.69","13.0%","6.75","5.81","6.19","2.13","202","59.7%","-1.67","","","","","","","","","","","39.4%","1.65","","","","","","","0.9%","12.70","","","","","0","","19876"
"Robert Stock","Red Sox","0.00","0.0%","6.75","3.40","4.45","2.46","106","65.2%","-1.71","","","","","","","","","","","19.3%","7.23","","","","","","","15.5%","2.82","","","","","0","","6576"
"Brandon Brennan","Mariners","0.00","0.0%","6.75","7.69","10.62","3.00","15","19.4%","3.69","","","","","","","","","25.8%","6.88","12.9%","-1.57","","","","","","","41.9%","2.64","","","","","0","","13527"
"Rico Garcia","Giants","1.13","11.1%","6.75","4.31","4.89","1.88","86","56.9%","-2.01","","","","","","","","","","","","","9.0%","5.48","","","","","34.0%","3.11","","","","","0","","20023"
