PLAYER,POS,REAL POS,TEAM,OPP,START,SAL,FPTS,VAL,FPTS L5,VAL L5,FPTS AVG,VAL AVG,WEATHER
Luis Campusano,C,C,SD,@LAA,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Jorge Ona,OF,OF,SD,@LAA,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Caleb Joseph,C,C,TOR,@BOS,,2600,0.0,0.0,0.0,0.0,0.0,0.0,W 4 R-L
Matt Reynolds,2B,2B/3B,KC,CWS,,2300,0.0,0.0,0.0,0.0,0.0,0.0,W 8 L-R
Seby Zavala,C,C,CWS,@KC,,2200,0.0,0.0,0.0,0.0,0.0,0.0,W 8 L-R
Jose Rojas,2B,2B,LAA,SD,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Connor Wong,C,C,BOS,TOR,,2500,0.0,0.0,0.0,0.0,0.0,0.0,W 4 R-L
Marcus Wilson,OF,OF,BOS,TOR,,2600,0.0,0.0,0.0,0.0,0.0,0.0,W 4 R-L
Jonathan Davis,OF,OF,TOR,@BOS,,2500,0.0,0.0,0.0,0.0,0.0,0.0,W 4 R-L
Tommy Pham,OF,OF,SD,@LAA,,3600,0.0,0.0,5.8,1.6,6.9,1.9,W 9 Out
Juan Centeno,C,C,BOS,TOR,,2600,0.0,0.0,0.0,0.0,0.0,0.0,W 4 R-L
Jonathan Lucroy,C,C,BOS,TOR,,2500,0.0,0.0,0.0,0.0,0.0,0.0,W 4 R-L
Jack Kruger,C,C,LAA,SD,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Jordyn Adams,OF,OF,LAA,SD,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Wil Myers,OF,OF,SD,@LAA,6,3600,0.0,0.0,10.0,2.8,9.4,2.6,W 9 Out
Yermin Mercedes,C,C,CWS,@KC,,2300,0.0,0.0,0.0,0.0,0.0,0.0,W 8 L-R
Elliot Soto,3B,3B/SS,LAA,SD,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Erick Mejia,3B,3B/OF,KC,CWS,,2300,0.0,0.0,0.0,0.0,0.0,0.0,W 8 L-R
Zack Collins,C,C,CWS,@KC,,3100,0.0,0.0,1.8,0.6,1.2,0.4,W 8 L-R
Michael Hermosillo,OF,OF,LAA,SD,,2000,0.0,0.0,3.4,1.7,2.4,1.2,W 9 Out
Khalil Lee,OF,OF,KC,CWS,,2300,0.0,0.0,0.0,0.0,0.0,0.0,W 8 L-R
Brandon Marsh,OF,OF,LAA,SD,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Bo Bichette,SS,SS,TOR,@BOS,,5100,0.0,0.0,20.4,4.0,12.2,2.4,W 4 R-L
Oscar Hernandez,C,C,KC,CWS,,2300,0.0,0.0,2.0,0.9,2.0,0.9,W 8 L-R
Max Stassi,C,C,LAA,SD,,2200,0.0,0.0,3.0,1.4,5.9,2.7,W 9 Out
Andrew Vaughn,1B,1B,CWS,@KC,,2300,0.0,0.0,0.0,0.0,0.0,0.0,W 8 L-R
Bobby Witt,SS,SS,KC,CWS,,2300,0.0,0.0,0.0,0.0,0.0,0.0,W 8 L-R
CJ Abrams,SS,SS,SD,@LAA,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Hudson Head,OF,OF,SD,@LAA,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Robert Hassell,OF,OF,SD,@LAA,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
C.J. Chatham,SS,SS,BOS,TOR,,2500,0.0,0.0,0.0,0.0,0.0,0.0,W 4 R-L
Allan de San Miguel,C,C,KC,CWS,,2300,0.0,0.0,0.0,0.0,0.0,0.0,W 8 L-R
Austin Martin,3B,3B,TOR,@BOS,,2300,0.0,0.0,0.0,0.0,0.0,0.0,W 4 R-L
Alejandro Kirk,C,C,TOR,@BOS,,2500,0.0,0.0,0.0,0.0,0.0,0.0,W 4 R-L
