Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SP,Shaun Anderson (15405667),Shaun Anderson,15405667,P,4800,SF@SEA 09/15/2020 09:40PM ET,SF,1.68
OF,Kyle Lewis (15405706),Kyle Lewis,15405706,OF,4800,SF@SEA 09/15/2020 09:40PM ET,SEA,8.81
RP,Caleb Ferguson (15405698),Caleb Ferguson,15405698,P,4700,LAD@SD 09/15/2020 09:10PM ET,LAD,3.89
RP,Silvino Bracho (15405605),Silvino Bracho,15405605,P,4600,ARI@LAA 09/15/2020 09:40PM ET,ARI,0
RP,Ty Buttrey (15405616),Ty Buttrey,15405616,P,4600,ARI@LAA 09/15/2020 09:40PM ET,LAA,1.83
1B/OF,Shohei Ohtani (15405631),Shohei Ohtani,15405631,1B/OF,4600,ARI@LAA 09/15/2020 09:40PM ET,LAA,5.31
RP,Joe Kelly (15405514),Joe Kelly,15405514,P,4600,LAD@SD 09/15/2020 09:10PM ET,LAD,2.61
2B,Jake Cronenworth (15405704),Jake Cronenworth,15405704,2B,4600,LAD@SD 09/15/2020 09:10PM ET,SD,7.84
SS,Andrelton Simmons (15405554),Andrelton Simmons,15405554,SS,4500,ARI@LAA 09/15/2020 09:40PM ET,LAA,6.74
RP,Justin Anderson (15405692),Justin Anderson,15405692,P,4500,ARI@LAA 09/15/2020 09:40PM ET,LAA,0
RP,Yoan Lopez (15405712),Yoan Lopez,15405712,P,4500,ARI@LAA 09/15/2020 09:40PM ET,ARI,2.06
1B,Mitch Moreland (15405490),Mitch Moreland,15405490,1B,4500,LAD@SD 09/15/2020 09:10PM ET,SD,8.33
3B,Evan Longoria (15405475),Evan Longoria,15405475,3B,4500,SF@SEA 09/15/2020 09:40PM ET,SF,7
RP,Taylor Cole (15405495),Taylor Cole,15405495,P,4400,ARI@LAA 09/15/2020 09:40PM ET,LAA,0
3B,Justin Turner (15405480),Justin Turner,15405480,3B,4400,LAD@SD 09/15/2020 09:10PM ET,LAD,7.84
OF,Alex Dickerson (15405538),Alex Dickerson,15405538,OF,4400,SF@SEA 09/15/2020 09:40PM ET,SF,6.73
RP,Gerson Bautista (15405633),Gerson Bautista,15405633,P,4400,SF@SEA 09/15/2020 09:40PM ET,SEA,0
RP,Hansel Robles (15405537),Hansel Robles,15405537,P,4300,ARI@LAA 09/15/2020 09:40PM ET,LAA,0.80
OF,Chris Taylor (15405603),Chris Taylor,15405603,OF,4300,LAD@SD 09/15/2020 09:10PM ET,LAD,7.56
2B,Donovan Solano (15405470),Donovan Solano,15405470,2B,4300,SF@SEA 09/15/2020 09:40PM ET,SF,7.81
1B/2B,Wilmer Flores (15405505),Wilmer Flores,15405505,1B/2B,4300,SF@SEA 09/15/2020 09:40PM ET,SF,8.02
RP,Keynan Middleton (15405643),Keynan Middleton,15405643,P,4200,ARI@LAA 09/15/2020 09:40PM ET,LAA,1.86
RP,James Sherfy (15405653),James Sherfy,15405653,P,4200,ARI@LAA 09/15/2020 09:40PM ET,ARI,0
C,Will Smith (15405716),Will Smith,15405716,C,4200,LAD@SD 09/15/2020 09:10PM ET,LAD,8.11
RP,Noe Ramirez (15405586),Noe Ramirez,15405586,P,4100,ARI@LAA 09/15/2020 09:40PM ET,LAA,2.13
OF,Wil Myers (15405513),Wil Myers,15405513,OF,4100,LAD@SD 09/15/2020 09:10PM ET,SD,9.76
OF,Austin Slater (15405596),Austin Slater,15405596,OF,4100,SF@SEA 09/15/2020 09:40PM ET,SF,8.32
SP,Junior Guerra (15405467),Junior Guerra,15405467,P,4000,ARI@LAA 09/15/2020 09:40PM ET,ARI,2.55
RP,Hector Rondon (15405484),Hector Rondon,15405484,P,4000,ARI@LAA 09/15/2020 09:40PM ET,ARI,2
RP,Neil Ramirez (15405489),Neil Ramirez,15405489,P,4000,ARI@LAA 09/15/2020 09:40PM ET,LAA,0
RP,Luke Bard (15405520),Luke Bard,15405520,P,4000,ARI@LAA 09/15/2020 09:40PM ET,LAA,0.94
RP,Parker Markel (15405527),Parker Markel,15405527,P,4000,ARI@LAA 09/15/2020 09:40PM ET,LAA,0
RP,Hoby Milner (15405532),Hoby Milner,15405532,P,4000,ARI@LAA 09/15/2020 09:40PM ET,LAA,1.64
RP,Joe Mantiply (15405533),Joe Mantiply,15405533,P,4000,ARI@LAA 09/15/2020 09:40PM ET,ARI,-0.74
RP,Matt Grace (15405540),Matt Grace,15405540,P,4000,ARI@LAA 09/15/2020 09:40PM ET,ARI,-3.32
RP,Jacob Barnes (15405573),Jacob Barnes,15405573,P,4000,ARI@LAA 09/15/2020 09:40PM ET,LAA,2.12
SP,Joel Payamps (15405577),Joel Payamps,15405577,P,4000,ARI@LAA 09/15/2020 09:40PM ET,ARI,2.88
RP,Keury Mella (15405604),Keury Mella,15405604,P,4000,ARI@LAA 09/15/2020 09:40PM ET,ARI,2.5
RP,Mike Mayers (15405629),Mike Mayers,15405629,P,4000,ARI@LAA 09/15/2020 09:40PM ET,LAA,3.82
RP,Emilio Vargas (15405635),Emilio Vargas,15405635,P,4000,ARI@LAA 09/15/2020 09:40PM ET,ARI,0
RP,Jose Rodriguez (15405636),Jose Rodriguez,15405636,P,4000,ARI@LAA 09/15/2020 09:40PM ET,LAA,1.95
RP,Jacob Rhame (15405649),Jacob Rhame,15405649,P,4000,ARI@LAA 09/15/2020 09:40PM ET,LAA,0
RP,Adrian De Horta (15405651),Adrian De Horta,15405651,P,4000,ARI@LAA 09/15/2020 09:40PM ET,LAA,0
RP,Stefan Crichton (15405655),Stefan Crichton,15405655,P,4000,ARI@LAA 09/15/2020 09:40PM ET,ARI,3.13
1B,Jared Walsh (15405678),Jared Walsh,15405678,1B,4000,ARI@LAA 09/15/2020 09:40PM ET,LAA,6.9
