Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Cal Raleigh (15351346),Cal Raleigh,15351346,C,2300,SEA@ARI 09/13/2020 04:10PM ET,SEA,0
C,Brian O'Keefe (15351347),Brian O'Keefe,15351347,C,2300,SEA@ARI 09/13/2020 04:10PM ET,SEA,0
C,Eliezer Alfonzo (15351348),Eliezer Alfonzo,15351348,C,2200,LAA@COL 09/13/2020 03:10PM ET,COL,0
C,Chris Rabago (15351349),Chris Rabago,15351349,C,2200,LAA@COL 09/13/2020 03:10PM ET,COL,0
OF,Luis Basabe (15351286),Luis Basabe,15351286,OF,2200,SF@SD 09/13/2020 04:10PM ET,SF,0.67
OF,Hunter Pence (15351356),Hunter Pence,15351356,OF,2200,SF@SD 09/13/2020 04:10PM ET,SF,3.65
SS,Donovan Walton (15351287),Donovan Walton,15351287,SS,2200,SEA@ARI 09/13/2020 04:10PM ET,SEA,1
OF,Mallex Smith (15351350),Mallex Smith,15351350,OF,2200,SEA@ARI 09/13/2020 04:10PM ET,SEA,3.29
2B,Kaden Polcovich (15351351),Kaden Polcovich,15351351,2B,2200,SEA@ARI 09/13/2020 04:10PM ET,SEA,0
OF,Tim Lopes (15351352),Tim Lopes,15351352,OF,2200,SEA@ARI 09/13/2020 04:10PM ET,SEA,5.31
OF,Braden Bishop (15351353),Braden Bishop,15351353,OF,2200,SEA@ARI 09/13/2020 04:10PM ET,SEA,4
1B/3B,Patrick Wisdom (15351354),Patrick Wisdom,15351354,1B/3B,2200,SEA@ARI 09/13/2020 04:10PM ET,SEA,0
C,Luis Campusano (15351357),Luis Campusano,15351357,C,2100,SF@SD 09/13/2020 04:10PM ET,SD,18
SS,CJ Abrams (15351359),CJ Abrams,15351359,SS,2100,SF@SD 09/13/2020 04:10PM ET,SD,0
1B/C,Aramis Garcia (15351360),Aramis Garcia,15351360,C/1B,2100,SF@SD 09/13/2020 04:10PM ET,SF,0
OF,Joey Rickard (15351362),Joey Rickard,15351362,OF,2100,SF@SD 09/13/2020 04:10PM ET,SF,1
OF,Heliot Ramos (15351363),Heliot Ramos,15351363,OF,2100,SF@SD 09/13/2020 04:10PM ET,SF,0
3B,Luis Toribio (15351364),Luis Toribio,15351364,3B,2100,SF@SD 09/13/2020 04:10PM ET,SF,0
SS,Marco Luciano (15351365),Marco Luciano,15351365,SS,2100,SF@SD 09/13/2020 04:10PM ET,SF,0
OF,Jose Siri (15351366),Jose Siri,15351366,OF,2100,SF@SD 09/13/2020 04:10PM ET,SF,0
OF,Alexander Canario (15351367),Alexander Canario,15351367,OF,2100,SF@SD 09/13/2020 04:10PM ET,SF,0
C,Joe Hudson (15351358),Joe Hudson,15351358,C,2100,SEA@ARI 09/13/2020 04:10PM ET,SEA,1.44
C,Webster Rivas (15351368),Webster Rivas,15351368,C,2000,SF@SD 09/13/2020 04:10PM ET,SD,0
SS,Will Wilson (15351369),Will Wilson,15351369,SS,2000,SF@SD 09/13/2020 04:10PM ET,SF,0
3B,Zach Green (15351370),Zach Green,15351370,3B,2000,SF@SD 09/13/2020 04:10PM ET,SF,0
SS,Abiatal Avelino (15351371),Abiatal Avelino,15351371,SS,2000,SF@SD 09/13/2020 04:10PM ET,SF,0
2B,Kean Wong (15351372),Kean Wong,15351372,2B,2000,SF@SD 09/13/2020 04:10PM ET,SF,0
1B/OF,Chris Shaw (15351373),Chris Shaw,15351373,1B/OF,2000,SF@SD 09/13/2020 04:10PM ET,SF,0
OF,Steven Duggar (15351375),Steven Duggar,15351375,OF,2000,SF@SD 09/13/2020 04:10PM ET,SF,1.56
OF,Jaylin Davis (15351376),Jaylin Davis,15351376,OF,2000,SF@SD 09/13/2020 04:10PM ET,SF,4.75
OF,Joe McCarthy (15351377),Joe McCarthy,15351377,OF,2000,SF@SD 09/13/2020 04:10PM ET,SF,0
