team code, game_date, game_number, mlb id, player name, batting order, confirmed, position
SEA,9/20/2020,1,641786,Kyle Lewis,3,N,
SEA,9/20/2020,1,572122,Kyle Seager,4,N,
SEA,9/20/2020,1,657108,Evan White,5,N,
SEA,9/20/2020,1,592530,Jose Marmolejos,6,N,
SEA,9/20/2020,1,640447,Phillip Ervin,7,N,
SEA,9/20/2020,1,543829,Dee Gordon,8,N,
SEA,9/20/2020,1,641929,Joseph Odom,9,N,
SEA,9/20/2020,1,643290,Justin Dunn,SP,N,
WAS,9/20/2020,2,571788,Brock Holt,1,N,
WAS,9/20/2020,2,607208,Trea Turner,2,N,
WAS,9/20/2020,2,665742,Juan Soto,3,N,
WAS,9/20/2020,2,452678,Asdrubal Cabrera,4,N,
WAS,9/20/2020,2,519346,Eric Thames,5,N,
WAS,9/20/2020,2,543228,Yan Gomes,6,N,
WAS,9/20/2020,2,671277,Luis Garcia,7,N,
WAS,9/20/2020,2,572191,Michael Taylor,8,N,
WAS,9/20/2020,2,628450,Yadiel Hernandez,9,N,
WAS,9/20/2020,2,664069,Ben Braymer,SP,N,
MIA,9/20/2020,2,500743,Miguel Rojas,1,N,
MIA,9/20/2020,2,516782,Starling Marte,2,N,
MIA,9/20/2020,2,542583,Jesus Aguilar,3,N,
MIA,9/20/2020,2,605119,Brian Anderson,4,N,
MIA,9/20/2020,2,643265,Garrett Cooper,5,N,
MIA,9/20/2020,2,621446,Lewis Brinson,6,N,
MIA,9/20/2020,2,656509,Monte Harrison,7,N,
MIA,9/20/2020,2,595751,Jorge Alfaro,8,N,
MIA,9/20/2020,2,665862,Jazz Chisholm,9,N,
MIA,9/20/2020,2,663734,Nick Neidert,SP,N,
MIN,9/20/2020,1,596146,Max Kepler,1,N,
MIN,9/20/2020,1,518626,Josh Donaldson,2,N,
MIN,9/20/2020,1,593871,Jorge Polanco,3,N,
MIN,9/20/2020,1,443558,Nelson Cruz,4,N,
MIN,9/20/2020,1,592696,Eddie Rosario,5,N,
MIN,9/20/2020,1,593934,Miguel Sano,6,N,
MIN,9/20/2020,1,664774,LaMonte Wade,7,N,
MIN,9/20/2020,1,503556,Marwin Gonzalez,8,N,
MIN,9/20/2020,1,680777,Ryan Jeffers,9,N,
MIN,9/20/2020,1,621244,Jose Berrios,SP,N,
CHC,9/20/2020,1,664023,Ian Happ,1,N,
CHC,9/20/2020,1,592178,Kris Bryant,2,N,
CHC,9/20/2020,1,519203,Anthony Rizzo,3,N,
CHC,9/20/2020,1,575929,Willson Contreras,4,N,
CHC,9/20/2020,1,656941,Kyle Schwarber,5,N,
CHC,9/20/2020,1,595879,Javier Baez,6,N,
CHC,9/20/2020,1,518792,Jason Heyward,7,N,
CHC,9/20/2020,1,543401,Jason Kipnis,8,N,
CHC,9/20/2020,1,605170,Victor Caratini,9,N,
CHC,9/20/2020,1,506433,Yu Darvish,SP,N,
